theta,range
0,17.842437000278455
1,19.131805831802723
2,20.65838708259006
3,22.161180528737017
4,23.7634270606179
5,25.336561102196576
6,27.000621118076978
7,28.74942318449999
8,30.45888007887526
9,32.127835888768374
10,33.75517752402217
11,35.45197751333041
12,37.101334521896355
13,38.70225248232671
14,40.253781358125366
15,41.75501681481455
16,43.205099878937844
17,44.60321658529824
18,45.94859761278194
19,47.33728028962118
20,48.57315889696633
21,49.75426314125664
22,50.87999919648774
23,51.86061824382419
24,52.87588091875117
25,53.834239871068995
26,54.65159737061222
27,55.496759509351406
28,56.20379944503108
29,56.85605541700568
30,57.453231544198836
31,57.920217724469474
32,58.408230726737685
33,58.76903844925043
34,59.07731274414811
35,59.33290748800158
36,59.53570916399549
37,59.685636521429686
38,59.71934676128952
39,59.703290280776095
40,59.63745208224538
41,59.521846128902766
42,59.29936627163364
43,59.08590799367732
44,58.76873361096801
45,58.40509121159614
46,57.94382877404213
47,57.48909792031269
48,56.9399077566054
49,56.34771065481092
50,55.66700462538893
51,54.99078653721034
52,54.229221258797565
53,53.42825195914991
54,52.58814191058045
55,51.67009766886339
56,50.71607424202803
57,49.726374186792384
58,48.701318042829364
59,47.64124411982925
60,46.513698878599335
61,45.35431810207894
62,44.133058187805744
63,42.91233749157921
64,41.63289551991917
65,40.32554721689761
66,38.99070654941029
67,37.60423205334368
68,36.19342119272284
69,34.75871291778459
70,33.300557600984874
71,31.718877110573363
72,30.106356554861197
73,28.484665303435115
74,26.854297339583443
75,25.21574928960722
76,23.569520271543414
77,21.91611174312811
78,20.256027349047624
79,18.589772767523407
80,16.91785555627736
81,15.240784997924875
82,13.559071944842035
83,11.873228663554977
84,10.183768678698442
85,8.491206616591143
86,6.796058048475294
87,5.098839333468584
88,3.400067461276078
89,1.700259894709969
