x,y
0.0,2.0
0.10253044876002126,2.102530517784066
0.2049734382462311,2.2047285762354427
0.3073290430620733,2.306594458944538
0.40959733774735446,2.408128449259855
0.5117783967782981,2.509330830288199
0.6138722945675987,2.610201884894882
0.7158791054644765,2.71074189570393
0.8177989037547311,2.8109511450982896
0.9196317636607956,2.910829915220031
1.021377759341791,3.0103784879705553
1.12303696489358,3.1095971450108
1.2246094543488208,3.208486167761444
1.3260953016770212,3.3070458374031113
1.4274945807845925,3.4052764348765767
1.528807365514903,3.5031782408829706
1.6300337296483325,3.6007515358839832
1.7311737469023252,3.6979966001020688
1.832227490931444,3.794913713520649
1.9331950353274234,3.8915031558843185
2.034076453619224,3.9877652066990468
2.1348718192730862,4.083700145232383
2.2355812056925815,4.1793082505136585
2.336204686218669,4.274589801334191
2.4367423341297467,4.369545076247486
2.537194222641706,4.464174353569442
2.637560424907984,4.558477911378551
2.737841014019618,4.652456027516102
2.8380360630052976,4.746108979586384
2.938145644831419,4.839437044956886
3.038169832402136,4.932440500758502
3.1381086985594164,5.025119623885729
3.2379623160830926,5.117474690996874
3.3377307576909145,5.209505978514248
3.437414096038604,5.301213762624376
3.537012403719907,5.392598319278191
3.636525753266646,5.4836599241912385
3.7359542171487736,5.574398852843876
3.835297867774425,5.664815380481475
3.93455677748997,5.75490978211462
4.033731018580068,5.84468233251931
4.132820663267717,5.934133306237156
4.231825783714309,6.023262977575585
4.3307464520196834,6.112071620608036
4.429582740222175,6.200559509174164
4.5283347202986715,6.288726916880034
4.627002464164663,6.376574117098322
4.725586043674295,6.464101382968518
4.824085530620422,6.551308987397119
4.922500996734655,6.638197203057834
5.020832513687423,6.724766302391775
5.119080153088015,6.8110165576076644
5.217243986484638,6.896948240682024
5.315324085364469,6.98256162335938
5.413320521153705,7.0678569771524575
5.511233365217615,7.15283457334238
5.609062688860595,7.2374946829788644
5.7068085633262156,7.321837576880422
5.804471059797278,7.405863525634553
5.902050249395862,7.489572799597943
5.999546203183382,7.572965668896664
6.096958992160633,7.656042403426367
6.194288687267849,7.738803272852479
6.291535359384751,7.821248546610401
6.388699079330597,7.903378493905704
6.485779917864238,7.985193383714324
6.582777945684166,8.066693484782759
6.679693233428566,8.147879065628262
6.776525851675369,8.228750394539041
6.873275870942303,8.309307739574454
6.969943361686942,8.389551368565195
7.066528394306762,8.469481549113505
7.163031039139187,8.549098548593353
7.259451366461643,8.628402634150635
7.355789446491609,8.707394072703375
7.452045349386668,8.786073130941908
7.548219145244558,8.864440075329084
7.644310904103224,8.942495172100456
7.740320695940866,9.020238687264476
7.836248590675995,9.09767088660269
7.932094658167477,9.174792035669931
8.027858968214591,9.251602399794507
8.123541590557078,9.328102244078405
8.219142594875185,9.404291833397473
8.314662050789726,9.48017143240162
8.410100027862127,9.555741305515008
8.505456595594476,9.631001716936241
8.600731823429575,9.70595293063856
8.695925780750994,9.780595210370034
8.791038536883114,9.854928819653754
8.886070161091185,9.928954021788023
8.981020722581372,10.00267107984655
9.075890290500807,10.076080256678638
9.170678933937639,10.149181814909381
9.265386721921082,10.221976016939847
9.36001372342147,10.294463124947274
9.454560007350306,10.366643400885266
9.549025642560308,10.438517106483975
9.643410697845463,10.510084503250294
9.737715241941075,10.581345852468052
9.83193934352382,10.652301415198199
